gene,mean_logCPM_control,mean_logCPM_GCA,log2FC_GCA_vs_control,welch_t,p_welch,q_bh
SRSF1,8.375786334146651,7.425658802491422,-0.9501275316552293,-12.282535193653937,0.0006121366429783036,0.04026184955781752
ZBTB42,3.678176612937271,4.748359893261039,1.0701832803237683,10.491763310892175,0.0006131175706526943,0.04026184955781752
SMAD6,3.5077434471558404,5.506948948373377,1.9992055012175363,9.871533000822662,0.0006139485744926349,0.04026184955781752
UMPS,5.371193250275002,4.940894374065833,-0.43029887620916973,-13.006258660553856,0.0006140289976024323,0.04026184955781752
PLEK2,5.69390000542204,5.195440545535733,-0.49845945988630724,-10.032061141554786,0.0006260508443465925,0.040732403423275054
PDK2,5.870335954406111,6.782407337566809,0.9120713831606979,9.853538604397269,0.0006276427236300778,0.040732403423275054
UBXN6,7.143092665644218,7.95300759448092,0.8099149288367018,10.05444877074414,0.0006379874577301063,0.04119250651823722
DESI1,6.763094245609327,6.223799541260926,-0.5392947043484009,-9.720244475338506,0.000649683151787769,0.04173472226332089
S100A1,0.3605461582572517,3.7369096427689783,3.3763634845117267,16.20708446844541,0.0006530358964034128,0.04173822863123833
PASK,5.267165874853992,4.412837719743915,-0.8543281551100774,-17.654311276211637,0.0006598506538902244,0.041929666833613925
TNFSF9,6.063759597124952,6.814859751436871,0.7511001543119189,16.870968095600247,0.0006653251247785316,0.041929666833613925
DHRS1,4.081749956782023,4.672556560792473,0.5908066040104503,9.634123643877057,0.0006717212507823528,0.041929666833613925
FNDC4,3.1761484727540163,4.0415420904614585,0.8653936177074422,9.974917966296243,0.0006718481804091614,0.041929666833613925
SMNDC1,6.1740578728679525,5.522724880476006,-0.6513329923919464,-10.022017102605977,0.0006725975793934119,0.041929666833613925
RAB20,4.19490945166357,4.995886432535587,0.8009769808720177,10.399907159807345,0.0006779847823973669,0.04198493299042114
HK2,5.633473887291132,5.121374100123872,-0.5120997871672595,-9.852709679178664,0.0006838322807593661,0.04198493299042114
GALT,4.01366696119086,5.018973489706727,1.0053065285158667,13.768173679893462,0.0006879824303400238,0.04198493299042114
ELMO3,6.162005938382589,7.088655735427785,0.9266497970451955,10.137418652181141,0.0006936611759887489,0.04198493299042114
GOSR2,4.811522340930519,4.326344179189971,-0.4851781617405475,-9.563361906034734,0.0006944600775152525,0.04198493299042114
LIME1,4.612150133016393,5.132240606790082,0.5200904737736884,11.174798989958644,0.000695537552355253,0.04198493299042114
ARRDC1,6.3662615387448795,7.152282700222716,0.7860211614778363,9.625235159363578,0.0006967076987742741,0.04198493299042114
NUDT18,4.194204539131309,4.733244546599059,0.5390400074677499,9.42310971756445,0.0007085448519470888,0.042398341551891885
PROM2,3.1558683344959326,5.28405245297582,2.1281841184798878,19.102271240167017,0.0007102685427894966,0.042398341551891885
SHISA5,7.270931331273519,7.821538037661512,0.5506067063879927,19.223528349192115,0.000718576275531139,0.04250738848888132
GRSF1,7.22566957699555,6.683102616219432,-0.5425669607761181,-10.471639516279463,0.0007188132071608535,0.04250738848888132
AGR2,1.2076976075889536,-0.15762767398100497,-1.3653252815699586,-10.062289940168341,0.0007260866232316183,0.0426842812013397
AK1,6.0617728114766996,6.697780942574685,0.6360081310979853,10.312442785995003,0.0007285503547601244,0.0426842812013397
TMEM249,2.8495310272021794,3.760704032258029,0.9111730050558497,9.78242702976635,0.0007386018206056231,0.04307376055190857
KLRC2,1.0783583521848457,2.813847386322783,1.7354890341379374,10.413132350535571,0.0007514782959344308,0.04325981777186293
TAPBP,6.850348216129146,7.773481049601339,0.9231328334721933,9.596912071453174,0.0007518835405650433,0.04325981777186293
TTC7A,5.7213392495366024,6.391486231351048,0.6701469818144457,9.336483439745153,0.000753867769906402,0.04325981777186293
KARS1,7.874407496230415,6.9925396328381515,-0.8818678633922632,-12.644117934776986,0.0007564997145463231,0.04325981777186293
ZNF517,3.2482421047965886,3.8844667311315653,0.6362246263349767,9.25054335048095,0.0007616813197135342,0.04325981777186293
SPRYD7,5.000341651310726,4.345935617539244,-0.6544060337714823,-13.067872401069613,0.0007623025968491057,0.04325981777186293
IRF7,3.9743542381195343,5.8879845847199235,1.9136303466003892,9.592397522638786,0.0007717711695383385,0.04360162567190926
WDR83,4.284146820707254,4.7505508270996595,0.46640400639240553,9.237133142927469,0.0007798408996577094,0.04378014281954169
GMNN,4.800628058193386,4.2310489058441805,-0.5695791523492053,-9.949264293873965,0.0007827739169520814,0.04378014281954169
CPNE1,7.905006965503479,8.259839769047883,0.3548328035444035,15.813810244753956,0.0007871558628554408,0.04378014281954169
CRABP2,7.948526989136165,9.929531353142588,1.9810043640064228,12.86354091557163,0.0007920014664450788,0.04378014281954169
CHST11,3.9625425497993025,5.04831383478166,1.0857712849823575,14.650215094312959,0.0007976376645437162,0.04378014281954169
PSMD12,6.981342692778079,6.269410708335028,-0.7119319844430514,-14.951898863758359,0.0008005185906128495,0.04378014281954169
C3orf18,4.096002556077704,4.937334022425879,0.8413314663481746,14.571228915294522,0.0008027606534058335,0.04378014281954169
TINAGL1,7.436366569321044,7.908838083019796,0.4724715136987516,9.173746127693514,0.0008033607582483298,0.04378014281954169
TNS4,5.5342369803383775,6.392626100748455,0.8583891204100773,9.132901851011772,0.000808896537055967,0.04378014281954169
